section,category,description,date,metric,value
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-28,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-29,ICU Hospital Beds in Use,1489
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-29,Total ICU Hospital Beds,1917
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-29,Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-29,7-Day Average of Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-29,Acute Care Hospital Beds in Use,7091
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-29,Total Acute Care Hospital Beds,9129
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-29,Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-29,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-30,ICU Hospital Beds in Use,1489
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-30,Total ICU Hospital Beds,1919
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-30,Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-30,7-Day Average of Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-30,Acute Care Hospital Beds in Use,7199
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-30,Total Acute Care Hospital Beds,9130
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-30,Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-09-30,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-01,ICU Hospital Beds in Use,1477
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-01,Total ICU Hospital Beds,1919
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-01,Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-01,7-Day Average of Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-01,Acute Care Hospital Beds in Use,7230
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-01,Total Acute Care Hospital Beds,9124
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-01,Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-01,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-02,ICU Hospital Beds in Use,1441
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-02,Total ICU Hospital Beds,1900
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-02,Percent of ICU Hospital Beds in Use,0.76
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-02,7-Day Average of Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-02,Acute Care Hospital Beds in Use,7162
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-02,Total Acute Care Hospital Beds,9124
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-02,Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-02,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-03,ICU Hospital Beds in Use,1429
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-03,Total ICU Hospital Beds,1896
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-03,Percent of ICU Hospital Beds in Use,0.75
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-03,7-Day Average of Percent of ICU Hospital Beds in Use,0.76
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-03,Acute Care Hospital Beds in Use,7041
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-03,Total Acute Care Hospital Beds,9124
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-03,Percent of Acute Care Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-03,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-04,ICU Hospital Beds in Use,1468
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-04,Total ICU Hospital Beds,1915
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-04,Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-04,7-Day Average of Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-04,Acute Care Hospital Beds in Use,6895
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-04,Total Acute Care Hospital Beds,9125
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-04,Percent of Acute Care Hospital Beds in Use,0.76
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-04,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-05,ICU Hospital Beds in Use,1414
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-05,Total ICU Hospital Beds,1915
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-05,Percent of ICU Hospital Beds in Use,0.74
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-05,7-Day Average of Percent of ICU Hospital Beds in Use,0.76
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-05,Acute Care Hospital Beds in Use,6812
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-05,Total Acute Care Hospital Beds,9109
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-05,Percent of Acute Care Hospital Beds in Use,0.75
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-05,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-06,ICU Hospital Beds in Use,1488
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-06,Total ICU Hospital Beds,1915
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-06,Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-06,7-Day Average of Percent of ICU Hospital Beds in Use,0.76
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-06,Acute Care Hospital Beds in Use,7161
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-06,Total Acute Care Hospital Beds,9109
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-06,Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-06,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-07,ICU Hospital Beds in Use,1499
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-07,Total ICU Hospital Beds,1915
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-07,Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-07,7-Day Average of Percent of ICU Hospital Beds in Use,0.76
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-07,Acute Care Hospital Beds in Use,7320
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-07,Total Acute Care Hospital Beds,9168
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-07,Percent of Acute Care Hospital Beds in Use,0.8
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-07,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-08,ICU Hospital Beds in Use,1516
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-08,Total ICU Hospital Beds,1955
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-08,Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-08,7-Day Average of Percent of ICU Hospital Beds in Use,0.76
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-08,Acute Care Hospital Beds in Use,7489
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-08,Total Acute Care Hospital Beds,9295
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-08,Percent of Acute Care Hospital Beds in Use,0.81
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-08,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-09,ICU Hospital Beds in Use,1556
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-09,Total ICU Hospital Beds,1957
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-09,Percent of ICU Hospital Beds in Use,0.8
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-09,7-Day Average of Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-09,Acute Care Hospital Beds in Use,7539
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-09,Total Acute Care Hospital Beds,9310
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-09,Percent of Acute Care Hospital Beds in Use,0.81
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-09,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-10,ICU Hospital Beds in Use,1568
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-10,Total ICU Hospital Beds,1957
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-10,Percent of ICU Hospital Beds in Use,0.8
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-10,7-Day Average of Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-10,Acute Care Hospital Beds in Use,7420
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-10,Total Acute Care Hospital Beds,9290
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-10,Percent of Acute Care Hospital Beds in Use,0.8
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-10,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-11,ICU Hospital Beds in Use,1546
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-11,Total ICU Hospital Beds,1957
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-11,Percent of ICU Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-11,7-Day Average of Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-11,Acute Care Hospital Beds in Use,7201
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-11,Total Acute Care Hospital Beds,9283
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-11,Percent of Acute Care Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-11,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-12,ICU Hospital Beds in Use,1520
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-12,Total ICU Hospital Beds,1977
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-12,Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-12,7-Day Average of Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-12,Acute Care Hospital Beds in Use,7025
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-12,Total Acute Care Hospital Beds,9283
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-12,Percent of Acute Care Hospital Beds in Use,0.76
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-12,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-13,ICU Hospital Beds in Use,1535
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-13,Total ICU Hospital Beds,1977
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-13,Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-13,7-Day Average of Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-13,Acute Care Hospital Beds in Use,7319
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-13,Total Acute Care Hospital Beds,9284
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-13,Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-13,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-14,ICU Hospital Beds in Use,1428
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-14,Total ICU Hospital Beds,1857
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-14,Percent of ICU Hospital Beds in Use,0.77
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-14,7-Day Average of Percent of ICU Hospital Beds in Use,0.78
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-14,Acute Care Hospital Beds in Use,7611
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-14,Total Acute Care Hospital Beds,9284
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-14,Percent of Acute Care Hospital Beds in Use,0.82
Hospital Data,Hospital Level,Hospital Bed Use,2020-10-14,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.79
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Adult Critical Care Ventilators in Use,565
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Total Adult Critical Care Ventilators,1758
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Percent of Adult Critical Care Ventilators in Use,0.32
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Pediatric Critical Care Ventilators in Use,142
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Total Pediatric Critical Care Ventilators,353
Hospital Data,Hospital Level,Ventilator Use,2020-04-05,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Adult Critical Care Ventilators in Use,573
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Total Adult Critical Care Ventilators,1708
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Percent of Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Pediatric Critical Care Ventilators in Use,144
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Total Pediatric Critical Care Ventilators,358
Hospital Data,Hospital Level,Ventilator Use,2020-04-06,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Adult Critical Care Ventilators in Use,564
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Total Adult Critical Care Ventilators,1679
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Percent of Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Pediatric Critical Care Ventilators in Use,142
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Total Pediatric Critical Care Ventilators,360
Hospital Data,Hospital Level,Ventilator Use,2020-04-07,Percent of Pediatric Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Adult Critical Care Ventilators in Use,555
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Total Adult Critical Care Ventilators,1702
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Percent of Adult Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Pediatric Critical Care Ventilators in Use,144
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Total Pediatric Critical Care Ventilators,359
Hospital Data,Hospital Level,Ventilator Use,2020-04-08,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Adult Critical Care Ventilators in Use,555
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Total Adult Critical Care Ventilators,1732
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Percent of Adult Critical Care Ventilators in Use,0.32
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Pediatric Critical Care Ventilators in Use,90
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Total Pediatric Critical Care Ventilators,265
Hospital Data,Hospital Level,Ventilator Use,2020-04-09,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Adult Critical Care Ventilators in Use,497
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Total Adult Critical Care Ventilators,1683
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Percent of Adult Critical Care Ventilators in Use,0.3
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Pediatric Critical Care Ventilators in Use,89
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Total Pediatric Critical Care Ventilators,261
Hospital Data,Hospital Level,Ventilator Use,2020-04-10,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Adult Critical Care Ventilators in Use,491
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Total Adult Critical Care Ventilators,1440
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Percent of Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Pediatric Critical Care Ventilators in Use,84
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Total Pediatric Critical Care Ventilators,270
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,Percent of Pediatric Critical Care Ventilators in Use,0.31
Hospital Data,Hospital Level,Ventilator Use,2020-04-11,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.37
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Adult Critical Care Ventilators in Use,483
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Total Adult Critical Care Ventilators,1344
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Pediatric Critical Care Ventilators in Use,83
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Total Pediatric Critical Care Ventilators,246
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-12,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Adult Critical Care Ventilators in Use,463
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Total Adult Critical Care Ventilators,1185
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Pediatric Critical Care Ventilators in Use,80
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Total Pediatric Critical Care Ventilators,241
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,Percent of Pediatric Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-13,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Adult Critical Care Ventilators in Use,464
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Total Adult Critical Care Ventilators,1145
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Percent of Adult Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Pediatric Critical Care Ventilators in Use,78
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Total Pediatric Critical Care Ventilators,231
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-14,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Adult Critical Care Ventilators in Use,469
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Total Adult Critical Care Ventilators,1135
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Percent of Adult Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Pediatric Critical Care Ventilators in Use,79
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Total Pediatric Critical Care Ventilators,232
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-15,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Adult Critical Care Ventilators in Use,471
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Total Adult Critical Care Ventilators,1128
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Percent of Adult Critical Care Ventilators in Use,0.42
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.37
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Pediatric Critical Care Ventilators in Use,78
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Total Pediatric Critical Care Ventilators,229
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-16,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Adult Critical Care Ventilators in Use,439
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Total Adult Critical Care Ventilators,1144
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Percent of Adult Critical Care Ventilators in Use,0.38
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Pediatric Critical Care Ventilators in Use,91
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Total Pediatric Critical Care Ventilators,231
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,Percent of Pediatric Critical Care Ventilators in Use,0.39
Hospital Data,Hospital Level,Ventilator Use,2020-04-17,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Adult Critical Care Ventilators in Use,453
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Total Adult Critical Care Ventilators,1145
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Pediatric Critical Care Ventilators in Use,81
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Total Pediatric Critical Care Ventilators,231
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,Percent of Pediatric Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-18,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Adult Critical Care Ventilators in Use,453
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Total Adult Critical Care Ventilators,1143
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Pediatric Critical Care Ventilators in Use,80
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Total Pediatric Critical Care Ventilators,232
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,Percent of Pediatric Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-04-19,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.35
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Adult Critical Care Ventilators in Use,462
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Total Adult Critical Care Ventilators,1120
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Percent of Adult Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Pediatric Critical Care Ventilators in Use,80
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Total Pediatric Critical Care Ventilators,201
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-20,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Adult Critical Care Ventilators in Use,464
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Total Adult Critical Care Ventilators,1121
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Percent of Adult Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Pediatric Critical Care Ventilators in Use,82
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Total Pediatric Critical Care Ventilators,204
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-21,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.37
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Adult Critical Care Ventilators in Use,444
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Total Adult Critical Care Ventilators,1115
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Pediatric Critical Care Ventilators in Use,78
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Total Pediatric Critical Care Ventilators,193
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,Percent of Pediatric Critical Care Ventilators in Use,0.4
Hospital Data,Hospital Level,Ventilator Use,2020-04-22,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.38
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,Adult Critical Care Ventilators in Use,419
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,Total Adult Critical Care Ventilators,1117
Hospital Data,Hospital Level,Ventilator Use,2020-04-23,Percent of Adult Critical Care Ventilators in Use,0.38
